root_relax = 1899.0

Gurobi 12.0.0 (linux64) logging started Wed Feb  5 22:42:34 2025

Set parameter LogFile to value "./res/Gurobi/QP/bcc56458.txt"
Set parameter Presolve to value 0
Set parameter AggFill to value -1
Set parameter Aggregate to value 0
Set parameter Heuristics to value 0
Set parameter LPWarmStart to value 0
Set parameter NLPHeur to value 0
Set parameter NoRelHeurTime to value 0
Set parameter PreCrush to value 0
Set parameter PreDepRow to value 0
Set parameter PreDual to value 0
Set parameter PrePasses to value -1
Set parameter RINS to value 0
Set parameter Symmetry to value 0
Set parameter PreQLinearize to value 0
Set parameter NonConvex to value 0

Gurobi 12.0.0 (linux64) logging started Wed Feb  5 22:42:34 2025

Set parameter LogFile to value "./res/Gurobi/QP/bcc56458.txt"
Set parameter PreCrush to value 0
Set parameter PrePasses to value -1
Set parameter AggFill to value -1
Set parameter NoRelHeurTime to value 0
Set parameter NLPHeur to value 0
Set parameter NonConvex to value 0
Set parameter LPWarmStart to value 0
Set parameter PreDepRow to value 0
Set parameter Symmetry to value 0
Set parameter Presolve to value 0
Gurobi Optimizer version 12.0.0 build v12.0.0rc1 (linux64 - "Debian GNU/Linux 12 (bookworm)")

CPU model: Intel(R) Xeon(R) CPU E5-2650 v3 @ 2.30GHz, instruction set [SSE2|AVX|AVX2]
Thread count: 20 physical cores, 40 logical processors, using up to 20 threads

Non-default parameters:
TimeLimit  1800
LPWarmStart  0
Heuristics  0
RINS  0
NLPHeur  0
Symmetry  0
Aggregate  0
PreDual  0
NonConvex  0
PreDepRow  0
PreQLinearize  0
Presolve  0

Optimize a model with 0 rows, 63 columns and 0 nonzeros
Model fingerprint: 0x1cec1e1f
Model has 1899 quadratic objective terms
Variable types: 0 continuous, 63 integer (63 binary)
Coefficient statistics:
  Matrix range     [0e+00, 0e+00]
  Objective range  [8e+00, 6e+01]
  QObjective range [4e+00, 4e+00]
  Bounds range     [0e+00, 0e+00]
  RHS range        [0e+00, 0e+00]
Variable types: 0 continuous, 63 integer (63 binary)

Root relaxation: objective 3.208201e+03, 74 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 1899.00000    0   62          - 1899.00000      -     -    0s
     0     0 1899.00000    0   62          - 1899.00000      -     -    0s
     0     2 1899.00000    0   62          - 1899.00000      -     -    0s
* 1731  2045              63     966.0000000 1899.00000  96.6%   2.7    0s
* 2148  2415              61     967.0000000 1899.00000  96.4%   2.7    0s
* 6337  5247              69     968.0000000 1899.00000  96.2%   2.8    0s
* 6338  5051              70     969.0000000 1899.00000  96.0%   2.8    0s
 267255 209146 1899.00000   24   46  969.00000 1899.00000  96.0%   2.9    5s
 681038 526225 1774.15500   32   38  969.00000 1899.00000  96.0%   2.9   10s
 1129091 864702 1899.00000   28   39  969.00000 1899.00000  96.0%   2.9   15s
 1485560 1156542 1773.75837   32   36  969.00000 1899.00000  96.0%   2.9   20s
 1971796 1522945 1665.55294   34   37  969.00000 1899.00000  96.0%   2.9   25s
 2411050 1858423 1899.00000   29   41  969.00000 1899.00000  96.0%   2.9   30s
 2792736 2163158 1899.00000   27   43  969.00000 1899.00000  96.0%   2.9   35s
 3169489 2446088 1899.00000   27   42  969.00000 1899.00000  96.0%   2.9   40s
 3604596 2778292  983.20180   58   13  969.00000 1899.00000  96.0%   2.9   45s
 4139026 3193757 1899.00000   26   40  969.00000 1899.00000  96.0%   2.9   50s
 4586286 3542798 1879.87200   30   38  969.00000 1899.00000  96.0%   2.9   55s
 5008910 3874258 1720.34604   33   37  969.00000 1899.00000  96.0%   2.9   60s
 5417361 4195222 1774.14084   32   38  969.00000 1899.00000  96.0%   2.9   65s
 5797941 4492608 1899.00000   27   42  969.00000 1899.00000  96.0%   2.9   70s
 6184415 4786919 1899.00000   28   41  969.00000 1899.00000  96.0%   2.9   75s
 6659129 5148843 1014.12583   54   17  969.00000 1899.00000  96.0%   2.9   80s
 7197037 5568445 1899.00000   27   44  969.00000 1899.00000  96.0%   2.9   85s
 7737526 5969777 1557.92794   36   35  969.00000 1899.00000  96.0%   2.9   90s
 8250431 6364002 1502.04023   37   29  969.00000 1899.00000  96.0%   2.9   95s
 8680985 6689686 1355.38911   40   25  969.00000 1899.00000  96.0%   2.9  100s
 9130306 7036529 1605.65565   35   29  969.00000 1899.00000  96.0%   2.9  105s
 9605613 7406783 1134.28354   47   23  969.00000 1899.00000  96.0%   2.9  110s
 10021035 7724640 1828.97104   31   39  969.00000 1899.00000  96.0%   2.9  115s
 10504617 8088453 1899.00000   28   40  969.00000 1899.00000  96.0%   2.9  120s
 10900972 8390174 1720.34604   33   37  969.00000 1899.00000  96.0%   2.9  125s
 11307988 8688037 1827.94272   31   38  969.00000 1899.00000  96.0%   2.9  130s
 11715185 8989927 1612.72104   35   35  969.00000 1899.00000  96.0%   2.9  135s
 12128904 9305962 1172.58404   45   18  969.00000 1899.00000  96.0%   2.9  140s
 12554332 9621771 1899.00000   27   39  969.00000 1899.00000  96.0%   2.9  145s
