root_relax = 1894.0
opt = false
obj_val = 1846.88
solved_time = 2049.1964
explored_nodes = 116456758
LogFile to value "./res/Gurobi/QP/bcc24601.txt"
Set parameter Presolve to value 0
Set parameter AggFill to value -1
Set parameter Aggregate to value 0
Set parameter Heuristics to value 0
Set parameter LPWarmStart to value 0
Set parameter NLPHeur to value 0
Set parameter NoRelHeurTime to value 0
Set parameter PreCrush to value 0
Set parameter PreDepRow to value 0
Set parameter PreDual to value 0
Set parameter PrePasses to value -1
Set parameter RINS to value 0
Set parameter Symmetry to value 0
Set parameter PreQLinearize to value 0
Set parameter NonConvex to value 0

Gurobi 12.0.0 (linux64) logging started Wed Feb  5 20:53:47 2025

Set parameter LogFile to value "./res/Gurobi/QP/bcc24601.txt"
Set parameter PreCrush to value 0
Set parameter PrePasses to value -1
Set parameter AggFill to value -1
Set parameter NoRelHeurTime to value 0
Set parameter NLPHeur to value 0
Set parameter NonConvex to value 0
Set parameter LPWarmStart to value 0
Set parameter PreDepRow to value 0
Set parameter Symmetry to value 0
Set parameter Presolve to value 0
Gurobi Optimizer version 12.0.0 build v12.0.0rc1 (linux64 - "Debian GNU/Linux 12 (bookworm)")

CPU model: Intel(R) Xeon(R) CPU E5-2650 v3 @ 2.30GHz, instruction set [SSE2|AVX|AVX2]
Thread count: 20 physical cores, 40 logical processors, using up to 20 threads

Non-default parameters:
TimeLimit  1800
LPWarmStart  0
Heuristics  0
RINS  0
NLPHeur  0
Symmetry  0
Aggregate  0
PreDual  0
NonConvex  0
PreDepRow  0
PreQLinearize  0
Presolve  0

Optimize a model with 0 rows, 63 columns and 0 nonzeros
Model fingerprint: 0x0c598420
Model has 1894 quadratic objective terms
Variable types: 0 continuous, 63 integer (63 binary)
Coefficient statistics:
  Matrix range     [0e+00, 0e+00]
  Objective range  [3e+00, 6e+01]
  QObjective range [4e+00, 4e+00]
  Bounds range     [0e+00, 0e+00]
  RHS range        [0e+00, 0e+00]
Variable types: 0 continuous, 63 integer (63 binary)

Root relaxation: objective 2.938847e+03, 75 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 1894.00000    0   62          - 1894.00000      -     -    0s
     0     0 1894.00000    0   62          - 1894.00000      -     -    0s
     0     2 1894.00000    0   62          - 1894.00000      -     -    0s
* 1763  2084              62     963.0000000 1894.00000  96.7%   2.7    0s
* 2091  2446              61     964.0000000 1894.00000  96.5%   2.7    0s
 289923 242113 1600.02313   35   35  964.00000 1894.00000  96.5%   2.8    5s
 653032 559235 1847.93626   30   40  964.00000 1894.00000  96.5%   2.8   10s
 1037126 906293 1894.00000   26   45  964.00000 1894.00000  96.5%   2.8   15s
 1469314 1277227 1847.93626   30   40  964.00000 1894.00000  96.5%   2.8   20s
 1836864 1596451 1748.76959   32   38  964.00000 1894.00000  96.5%   2.8   25s
 2275816 1968799 1894.00000   25   44  964.00000 1894.00000  96.5%   2.8   30s
 2666914 2311682 1500.82810   37   32  964.00000 1894.00000  96.5%   2.8   35s
 3044779 2640065     cutoff   70       964.00000 1894.00000  96.5%   2.9   40s
 3467204 3007182 1549.77431   36   35  964.00000 1894.00000  96.5%   2.9   45s
 3972694 3427962 1796.54667   31   37  964.00000 1894.00000  96.5%   2.8   50s
 4402534 3797446 1699.18979   33   37  964.00000 1894.00000  96.5%   2.8   55s
 4844107 4177800 1243.84375   43   29  964.00000 1894.00000  96.5%   2.8   60s
 5312654 4578774 1894.00000   27   43  964.00000 1894.00000  96.5%   2.8   65s
 5682883 4904183 1600.02313   35   35  964.00000 1894.00000  96.5%   2.8   70s
 6072555 5250217 1002.36686   55   15  964.00000 1894.00000  96.5%   2.8   75s
 6462055 5591357 1180.25339   45   22  964.00000 1894.00000  96.5%   2.8   80s
 6921449 5983484 1275.95754   42   24  964.00000 1894.00000  96.5%   2.8   85s
 7398855 6393943 1894.00000   27   44  964.00000 1894.00000  96.5%   2.8   90s
 7889157 6805086 1546.50559   36   30  964.00000 1894.00000  96.5%   2.8   95s
 8361930 7207830 1696.19654   33   34  964.00000 1894.00000  96.5%   2.8  100s
 8808200 7580474 1084.33616   49   18  964.00000 1894.00000  96.5%   2.8  105s
 9304766 7994595 1748.10764   32   39  964.00000 1894.00000  96.5%   2.8  110s
 9725900 8353686 1012.10288   54   16  964.00000 1894.00000  96.5%   2.8  115s
 10099916 8678783 1318.19326   41   29  964.00000 1894.00000  96.5%   2.8  120s
 10496342 9021364 1649.60292   34   36  964.00000 1894.00000  96.5%   2.8  125s
 10904084 9375028 1106.51262   48   22  964.00000 1894.00000  96.5%   2.8  130s
 11312434 9729359 1847.93626   30   40  964.00000 1894.00000  96.5%   2.8  135s
 11725518 10092875 1499.28100   37   30  964.00000 1894.00000  96.5%   2.8  140s
 12162477 10469216 1798.14600   31   38  964.00000 1894.00000  96.5%   2.8  145s
 12582270 10835403 1201.90296   44   20  964.00000 1894.00000  96.5%   2.9  150s
 13026390 11215693 1847.54028   30   38  964.00000 1894.00000  96.5%   2.9  155s
