root_relax = 1729.0
opt = false
obj_val = 1414.2
solved_time = 1800.0108
explored_nodes = 130925369
 LogFile to value "./res/Gurobi/QP/bcc4004.txt"
Set parameter Presolve to value 0
Set parameter AggFill to value -1
Set parameter Aggregate to value 0
Set parameter Heuristics to value 0
Set parameter LPWarmStart to value 0
Set parameter NLPHeur to value 0
Set parameter NoRelHeurTime to value 0
Set parameter PreCrush to value 0
Set parameter PreDepRow to value 0
Set parameter PreDual to value 0
Set parameter PrePasses to value -1
Set parameter RINS to value 0
Set parameter Symmetry to value 0
Set parameter PreQLinearize to value 0
Set parameter NonConvex to value 0

Gurobi 12.0.0 (linux64) logging started Wed Feb  5 22:09:01 2025

Set parameter LogFile to value "./res/Gurobi/QP/bcc4004.txt"
Set parameter PreCrush to value 0
Set parameter PrePasses to value -1
Set parameter AggFill to value -1
Set parameter NoRelHeurTime to value 0
Set parameter NLPHeur to value 0
Set parameter NonConvex to value 0
Set parameter LPWarmStart to value 0
Set parameter PreDepRow to value 0
Set parameter Symmetry to value 0
Set parameter Presolve to value 0
Gurobi Optimizer version 12.0.0 build v12.0.0rc1 (linux64 - "Debian GNU/Linux 12 (bookworm)")

CPU model: Intel(R) Xeon(R) CPU E5-2650 v3 @ 2.30GHz, instruction set [SSE2|AVX|AVX2]
Thread count: 20 physical cores, 40 logical processors, using up to 20 threads

Non-default parameters:
TimeLimit  1800
LPWarmStart  0
Heuristics  0
RINS  0
NLPHeur  0
Symmetry  0
Aggregate  0
PreDual  0
NonConvex  0
PreDepRow  0
PreQLinearize  0
Presolve  0

Optimize a model with 0 rows, 63 columns and 0 nonzeros
Model fingerprint: 0x6b2727ff
Model has 1729 quadratic objective terms
Variable types: 0 continuous, 63 integer (63 binary)
Coefficient statistics:
  Matrix range     [0e+00, 0e+00]
  Objective range  [1e+01, 6e+01]
  QObjective range [4e+00, 4e+00]
  Bounds range     [0e+00, 0e+00]
  RHS range        [0e+00, 0e+00]
Variable types: 0 continuous, 63 integer (63 binary)

Root relaxation: objective 2.640045e+03, 73 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 1729.00000    0   62          - 1729.00000      -     -    0s
     0     0 1729.00000    0   62          - 1729.00000      -     -    0s
     0     2 1729.00000    0   62          - 1729.00000      -     -    0s
* 1738  2028              59     940.0000000 1729.00000  83.9%   3.1    0s
* 1768  2028              59     950.0000000 1729.00000  82.0%   3.1    0s
* 3058  3255              59     953.0000000 1729.00000  81.4%   2.9    0s
* 3065  3250              59     954.0000000 1729.00000  81.2%   2.9    0s
*33738 23667              68     955.0000000 1729.00000  81.0%   2.8    1s
 221984 166945 1085.66975   42   27  955.00000 1729.00000  81.0%   2.7    5s
 509413 383900 1054.51234   43   24  955.00000 1729.00000  81.0%   2.8   10s
 815825 612681 1729.00000   24   46  955.00000 1729.00000  81.0%   2.7   15s
 1136317 850640 1078.60552   42   26  955.00000 1729.00000  81.0%   2.7   20s
 1453713 1080693 1142.36806   39   26  955.00000 1729.00000  81.0%   2.7   25s
 1782554 1315575 1656.27464   26   42  955.00000 1702.73491  78.3%   2.7   30s
 2110227 1550891 1252.09558   35   32  955.00000 1700.23297  78.0%   2.7   35s
 2426783 1774902 1652.85311   26   42  955.00000 1698.95747  77.9%   2.7   40s
 2751013 2009259 1248.18779   35   33  955.00000 1698.12666  77.8%   2.7   45s
 3076698 2239330 1322.73085   33   36  955.00000 1671.79825  75.1%   2.7   50s
 3405996 2489767 1014.58776   46   22  955.00000 1656.14152  73.4%   2.7   55s
 3733241 2734734 1555.43878   28   41  955.00000 1654.09144  73.2%   2.6   60s
 4061221 2968560 1606.30948   27   41  955.00000 1652.97133  73.1%   2.6   65s
 4395378 3202292 1151.87536   38   31  955.00000 1652.13705  73.0%   2.6   70s
 4714727 3435303 1367.54878   32   37  955.00000 1651.43490  72.9%   2.6   75s
 5047991 3669896 1190.95808   37   32  955.00000 1650.78337  72.9%   2.6   80s
 5367604 3897968 1370.79930   32   36  955.00000 1650.12172  72.8%   2.7   85s
 5688284 4131338 1458.98885   30   38  955.00000 1649.24833  72.7%   2.7   90s
 6014045 4365013 1555.63369   28   41  955.00000 1631.37275  70.8%   2.7   95s
 6362158 4613470 1057.77933   44   23  955.00000 1611.12688  68.7%   2.7  100s
 6693241 4870130 1089.82834   42   26  955.00000 1608.85482  68.5%   2.7  105s
 7039223 5119729 1141.55569   39   29  955.00000 1607.42993  68.3%   2.7  110s
 7377790 5367697 1101.54554   40   28  955.00000 1606.49425  68.2%   2.7  115s
 7706219 5607830 1002.72600   48   19  955.00000 1605.82180  68.1%   2.6  120s
 8058924 5846355 1459.98746   30   41  955.00000 1605.25919  68.1%   2.6  125s
 8391794 6085145 1368.04873   32   38  955.00000 1604.77332  68.0%   2.6  130s
 8722700 6322531 1508.10928   29   39  955.00000 1604.30310  68.0%   2.6  135s
 9066127 6564020  955.26888   50   19  955.00000 1603.85511  67.9%   2.6  140s
