root_relax = 925.0
opt = false
obj_val = 663.16
solved_time = 1805.1088
explored_nodes = 133637322
nb_dom_cuts = 238
"./res/Gurobi/QP_Dom/bcc86501.txt"
Set parameter Presolve to value 0
Set parameter AggFill to value -1
Set parameter Aggregate to value 0
Set parameter Heuristics to value 0
Set parameter LPWarmStart to value 0
Set parameter NLPHeur to value 0
Set parameter NoRelHeurTime to value 0
Set parameter PreCrush to value 0
Set parameter PreDepRow to value 0
Set parameter PreDual to value 0
Set parameter PrePasses to value -1
Set parameter RINS to value 0
Set parameter Symmetry to value 0
Set parameter PreQLinearize to value 0
Set parameter NonConvex to value 0

Gurobi 12.0.0 (linux64) logging started Thu Feb  6 01:43:31 2025

Set parameter LogFile to value "./res/Gurobi/QP_Dom/bcc86501.txt"
Set parameter PreCrush to value 0
Set parameter PrePasses to value -1
Set parameter AggFill to value -1
Set parameter NoRelHeurTime to value 0
Set parameter NLPHeur to value 0
Set parameter NonConvex to value 0
Set parameter LPWarmStart to value 0
Set parameter PreDepRow to value 0
Set parameter Symmetry to value 0
Set parameter Presolve to value 0
Gurobi Optimizer version 12.0.0 build v12.0.0rc1 (linux64 - "Debian GNU/Linux 12 (bookworm)")

CPU model: Intel(R) Xeon(R) CPU E5-2650 v3 @ 2.30GHz, instruction set [SSE2|AVX|AVX2]
Thread count: 20 physical cores, 40 logical processors, using up to 20 threads

Non-default parameters:
TimeLimit  1800
LPWarmStart  0
Heuristics  0
RINS  0
NLPHeur  0
Symmetry  0
Aggregate  0
PreDual  0
NonConvex  0
PreDepRow  0
PreQLinearize  0
Presolve  0

Optimize a model with 238 rows, 67 columns and 2546 nonzeros
Model fingerprint: 0x3fa2f9e4
Model has 925 quadratic objective terms
Variable types: 0 continuous, 67 integer (67 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [2e+00, 5e+01]
  QObjective range [4e+00, 4e+00]
  Bounds range     [0e+00, 0e+00]
  RHS range        [1e+00, 3e+01]
Variable types: 0 continuous, 67 integer (67 binary)

Root relaxation: objective 1.605149e+03, 83 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 1605.14920    0   66          - 1605.14920      -     -    0s
     0     0  925.00000    0   66          -  925.00000      -     -    0s
     0     2  925.00000    0   66          -  925.00000      -     -    0s
* 1743  2046              64     487.0000000  925.00000  89.9%   3.0    0s
* 1758  2034              61     492.0000000  925.00000  88.0%   2.9    0s
* 2790  2740              56     493.0000000  925.00000  87.6%   3.0    0s
* 2839  2730              55     494.0000000  925.00000  87.2%   3.0    0s
 264261 205342  903.92706   25   48  494.00000  925.00000  87.2%   3.6    5s
 594521 462970  696.26720   30   43  494.00000  925.00000  87.2%   3.5   10s
 938418 724101  696.16991   30   43  494.00000  925.00000  87.2%   3.5   15s
 1289217 991729  542.87263   37   34  494.00000  925.00000  87.2%   3.5   20s
 1645141 1263268  508.03682   44   29  494.00000  903.92706  83.0%   3.5   25s
 2005011 1532767  591.29154   34   39  494.00000  903.92706  83.0%   3.5   30s
 2367058 1806513  536.13639   38   35  494.00000  903.65120  82.9%   3.5   35s
 2721202 2075324  522.24146   40   33  494.00000  902.63525  82.7%   3.4   40s
 3088072 2351599  522.24146   40   33  494.00000  862.60105  74.6%   3.4   45s
 3449948 2625711  636.55180   32   41  494.00000  862.60105  74.6%   3.4   50s
 3809193 2894109  636.55180   32   41  494.00000  860.09969  74.1%   3.5   55s
 4171489 3165353  611.92993   33   39  494.00000  860.00283  74.1%   3.4   60s
 4538463 3439074  573.45342   35   38  494.00000  860.00283  74.1%   3.4   65s
 4899140 3714904  546.05277   37   39  494.00000  859.39577  74.0%   3.4   70s
 5278266 3995554  535.39632   38   34  494.00000  858.01192  73.7%   3.4   75s
 5663944 4271206  612.16294   33   43  494.00000  840.97555  70.2%   3.4   80s
 6017412 4535990  591.29154   34   39  494.00000  816.26510  65.2%   3.4   85s
 6388149 4812054  494.09257   53   11  494.00000  816.26510  65.2%   3.4   90s
 6755860 5089920  816.26510   27   46  494.00000  816.26510  65.2%   3.4   95s
 7122565 5366371  514.30789   42   30  494.00000  816.26510  65.2%   3.4  100s
 7485269 5644052  494.77955   56    9  494.00000  816.26510  65.2%   3.4  105s
 7849386 5917437  573.14480   35   37  494.00000  816.26510  65.2%   3.4  110s
 8223140 6192644  664.16952   31   41  494.00000  815.98868  65.2%   3.4  115s
 8603634 6476771  663.16381   31   41  494.00000  815.98868  65.2%   3.4  120s
 8984168 6757351  494.32052   51   16  494.00000  815.98868  65.2%   3.4  125s
 9364270 7025785  664.16952   31   41  494.00000  815.96304  65.2%   3.4  130s
 9745756 7300702  558.48640   36   37  494.00000  814.96786  65.0%   3.4  135s
 10134268 7583110  558.48640   36   37  494.00000  814.96786  65.0%   3.4  140s
 10527498 7861627  695.55720   30   42  494.00000  813.18916  64.6%   3.4  145s
 10919026 8139718  526.87131   39   33  494.00000  776.37158  57.2%   3.3  150s
 11301398 8416744  612.23613   33   40  494.00000  776.37158  57.2%   3.3  155s
 11679878 8688112  536.03704   38   35  494.00000  774.66772  56.8%   3.3  160s
 12044607 8958738  536.13639   38   35  494.00000  774.66772  56.8%   3.3  165s
 12417748 9228449  664.40073   31   45  494.00000  774.66772  56.8%   3.4  170s
 12786056 9495626  732.09367   29   47  494.00000  774.66772  56.8%   3.4  175s
 13153157 9763948  772.43774   28   45  494.00000  774.66772  56.8%   3.4  180s
 13518869 10026207  696.26720   30   43  494.00000  774.66772  56.8%   3.4  185s
 13883025 10295901  498.75405   50   14  494.00000  772.43774  56.4%   3.4  190s
 14250449 10565966  664.40073   31   45  494.00000  772.43774  56.4%   3.4  195s
 14621022 10837803  664.16952   31   41  494.00000  772.34068  56.3%   3.4  200s
 14993412 11111368  635.83758   32   40  494.00000  772.34068  56.3%   3.4  205s
 15370826 11377202  664.47398   31   42  494.00000  772.34068  56.3%   3.4  210s
 15758493 11646918  573.45342   35   38  494.00000  772.34068  56.3%   3.4  215s
 16143418 11927810  573.38028   35   41  494.00000  772.34068  56.3%   3.4  220s
 16525090 12210158  573.45342   35   38  494.00000  772.34068  56.3%   3.4  225s
 16902165 12490010  556.32110   36   35  494.00000  772.34068  56.3%   3.4  230s
 17288645 12770772  664.47398   31   42  494.00000  771.73101  56.2%   3.4  235s
 17682670 13055050  502.35857   47   19  494.00000  771.73101  56.2%   3.4  240s
 18067130 13337313  508.03682   44   29  494.00000  771.73101  56.2%   3.4  245s
 18464666 13624262  504.01304   46   20  494.00000  771.73101  56.2%   3.4  250s
 18855821 13903166  494.52900   56    8  494.00000  771.73101  56.2%   3.3  255s
 19247138 14176832  612.23613   33   40  494.00000  771.73101  56.2%   3.3  260s
 19638789 14454749  522.24146   40   33  494.00000  770.34096  55.9%   3.3  265s
 20027960 14735635  695.55720   30   42  494.00000  770.34096  55.9%   3.3  270s
 20408031 15013134  634.43091   32   39  494.00000  770.34096  55.9%   3.3  275s
 20804199 15299192  694.15992   30   41  494.00000  768.05076  55.5%   3.3  280s
 21205816 15575103  664.40073   31   45  494.00000  754.95529  52.8%   3.3  285s
 21586902 15845426  636.55180   32   41  494.00000  754.95529  52.8%   3.3  290s
 21960827 16117606  499.88487   49   17  494.00000  754.95529  52.8%   3.3  295s
 22340031 16391172  612.16294   33   43  494.00000  732.16695  48.2%   3.3  300s
 22735501 16672234  494.18750   61    3  494.00000  732.16695  48.2%   3.3  305s
 23121917 16952661  545.81367   37   35  494.00000  732.16695  48.2%   3.3  310s
 23511616 17230103  508.03682   44   29  494.00000  732.16695  48.2%   3.3  315s
 23904830 17512440  545.81367   37   35  494.00000  732.16695  48.2%   3.3  320s
 24290094 17788487  696.26720   30   43  494.00000  732.16695  48.2%   3.3  325s
 24679119 18068449  535.39632   38   34  494.00000  732.16695  48.2%   3.3  330s
 25059102 18345647  522.24146   40   33  494.00000  732.16695  48.2%   3.3  335s
 25450888 18621635  612.16294   33   43  494.00000  732.16695  48.2%   3.3  340s
 25827362 18897274  591.19356   34   39  494.00000  732.16695  48.2%   3.3  345s
 26207284 19171426  522.24146   40   33  494.00000  732.16695  48.2%   3.3  350s
 26586161 19447524  511.05231   43   30  494.00000  732.16695  48.2%   3.3  355s
 26966554 19718213  536.03704   38   35  494.00000  732.16695  48.2%   3.3  360s
 27343171 19992047  612.23613   33   40  494.00000  732.16695  48.2%   3.3  365s
 27723710 20263638  612.16294   33   43  494.00000  732.16695  48.2%   3.3  370s
 28105101 20538858  496.70047   52   12  494.00000  732.16695  48.2%   3.3  375s
 28485853 20809949  497.63910   51   13  494.00000  732.16695  48.2%   3.3  380s
 28852667 21080289  545.81367   37   35  494.00000  732.16695  48.2%   3.3  385s
 29237681 21350512  526.87131   39   33  494.00000  732.16695  48.2%   3.3  390s
 29621816 21629919  664.47398   31   42  494.00000  731.88994  48.2%   3.3  395s
 30019303 21912598  496.48725   49   18  494.00000  731.88994  48.2%   3.3  400s
 30416299 22197214  664.47398   31   42  494.00000  731.88994  48.2%   3.3  405s
 30811776 22484910  522.24146   40   33  494.00000  731.88994  48.2%   3.3  410s
 31205339 22768760  516.39768   41   31  494.00000  731.88994  48.2%   3.3  415s
 31596281 23057027  522.24146   40   33  494.00000  731.88994  48.2%   3.3  420s
 31992967 23337999  591.29154   34   39  494.00000  731.88994  48.2%   3.3  425s
 32392516 23619329  573.45342   35   38  494.00000  731.88994  48.2%   3.3  430s
 32778022 23903851  495.73457   48   21  494.00000  731.88994  48.2%   3.3  435s
 33172124 24184655  495.81808   50   16  494.00000  731.88994  48.2%   3.3  440s
 33566711 24461117  573.38028   35   41  494.00000  731.88994  48.2%   3.3  445s
 33961542 24743745  494.19622   57    7  494.00000  731.86384  48.2%   3.3  450s
 34348000 25015703  494.19622   57    7  494.00000  731.86384  48.2%   3.3  455s
 34744810 25300511  504.23216   46   20  494.00000  730.86399  47.9%   3.3  460s
 35149500 25586233  521.48068   40   32  494.00000  730.86399  47.9%   3.3  465s
 35542640 25868055  494.19622   57    7  494.00000  730.86399  47.9%   3.3  470s
 35936678 26156631  591.29154   34   39  494.00000  730.86399  47.9%   3.3  475s
 36330179 26434586  610.91649   33   39  494.00000  730.86399  47.9%   3.3  480s
 36720895 26705760  519.96712   40   31  494.00000  730.86399  47.9%   3.3  485s
 37110496 26981659  494.92515   51   16  494.00000  730.86399  47.9%   3.3  490s
 37502801 27256050  502.35857   47   19  494.00000  730.86399  47.9%   3.3  495s
 37897377 27527817  494.77955   56    9  494.00000  729.07695  47.6%   3.3  500s
 38299378 27810251  635.83758   32   40  494.00000  729.07695  47.6%   3.3  505s
