root_relax = 570.0
opt = false
obj_val = 347.01
solved_time = 1800.0122
explored_nodes = 143786993
nb_dom_cuts = 320
"./res/Gurobi/QP_Dom/bcc86527.txt"
Set parameter Presolve to value 0
Set parameter AggFill to value -1
Set parameter Aggregate to value 0
Set parameter Heuristics to value 0
Set parameter LPWarmStart to value 0
Set parameter NLPHeur to value 0
Set parameter NoRelHeurTime to value 0
Set parameter PreCrush to value 0
Set parameter PreDepRow to value 0
Set parameter PreDual to value 0
Set parameter PrePasses to value -1
Set parameter RINS to value 0
Set parameter Symmetry to value 0
Set parameter PreQLinearize to value 0
Set parameter NonConvex to value 0

Gurobi 12.0.0 (linux64) logging started Thu Feb  6 02:22:17 2025

Set parameter LogFile to value "./res/Gurobi/QP_Dom/bcc86527.txt"
Set parameter PreCrush to value 0
Set parameter PrePasses to value -1
Set parameter AggFill to value -1
Set parameter NoRelHeurTime to value 0
Set parameter NLPHeur to value 0
Set parameter NonConvex to value 0
Set parameter LPWarmStart to value 0
Set parameter PreDepRow to value 0
Set parameter Symmetry to value 0
Set parameter Presolve to value 0
Gurobi Optimizer version 12.0.0 build v12.0.0rc1 (linux64 - "Debian GNU/Linux 12 (bookworm)")

CPU model: Intel(R) Xeon(R) CPU E5-2650 v3 @ 2.30GHz, instruction set [SSE2|AVX|AVX2]
Thread count: 20 physical cores, 40 logical processors, using up to 20 threads

Non-default parameters:
TimeLimit  1800
LPWarmStart  0
Heuristics  0
RINS  0
NLPHeur  0
Symmetry  0
Aggregate  0
PreDual  0
NonConvex  0
PreDepRow  0
PreQLinearize  0
Presolve  0

Optimize a model with 320 rows, 78 columns and 3632 nonzeros
Model fingerprint: 0x2479c44d
Model has 570 quadratic objective terms
Variable types: 0 continuous, 78 integer (78 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [2e+00, 4e+01]
  QObjective range [4e+00, 4e+00]
  Bounds range     [0e+00, 0e+00]
  RHS range        [1e+00, 2e+01]
Variable types: 0 continuous, 78 integer (78 binary)

Root relaxation: objective 7.256954e+02, 96 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0  725.69537    0   77          -  725.69537      -     -    0s
     0     0  570.00000    0   77          -  570.00000      -     -    0s
     0     2  570.00000    0   77          -  570.00000      -     -    0s
* 1443  1684              56     323.0000000  570.00000  76.5%   3.5    0s
* 2277  2298              50     324.0000000  570.00000  75.9%   3.3    0s
 300201 217664  360.57960   29   55  324.00000  444.26419  37.1%   3.3    5s
 683042 505879  327.26448   48   16  324.00000  420.62311  29.8%   3.3   10s
 1071766 788905  332.68590   38   42  324.00000  404.96565  25.0%   3.4   15s
 1459840 1064772  368.52991   28   57  324.00000  390.47303  20.5%   3.4   20s
 1844554 1339116  326.67317   46   27  324.00000  390.46794  20.5%   3.4   25s
 2247558 1634368  378.23717   27   59  324.00000  390.34291  20.5%   3.4   30s
 2635964 1902330  325.90830   48   19  324.00000  384.73060  18.7%   3.4   35s
 2992798 2144882  328.81753   45   23  324.00000  379.36663  17.1%   3.4   40s
 3393386 2419374  335.70349   39   34  324.00000  378.37237  16.8%   3.4   45s
 3768163 2687273  324.30875   52   16  324.00000  378.37237  16.8%   3.4   50s
 4173230 2973262  354.95245   30   54  324.00000  378.09009  16.7%   3.4   55s
 4573807 3249557  324.68676   53   14  324.00000  377.02260  16.4%   3.4   60s
 4980267 3528976  339.42689   36   44  324.00000  368.53535  13.7%   3.4   65s
 5383335 3784983  333.87907   40   32  324.00000  368.53465  13.7%   3.4   70s
 5786759 4062186  324.15836   53   13  324.00000  368.52991  13.7%   3.4   75s
 6194376 4345223  345.24455   33   48  324.00000  368.52991  13.7%   3.4   80s
 6590512 4597454  341.19703   35   44  324.00000  368.52991  13.7%   3.4   85s
 6987624 4866588  343.51532   34   46  324.00000  368.40335  13.7%   3.4   90s
 7398468 5161447  326.41828   49   14  324.00000  368.40335  13.7%   3.4   95s
 7798019 5446806  336.98943   38   40  324.00000  368.40335  13.7%   3.4  100s
 8200530 5735239  345.28550   33   46  324.00000  368.40335  13.7%   3.5  105s
 8600095 6015215  330.71684   43   22  324.00000  367.85160  13.5%   3.4  110s
 8996110 6287647  354.25893   30   54  324.00000  367.85160  13.5%   3.4  115s
 9400827 6562029  350.59613   31   55  324.00000  364.99206  12.7%   3.4  120s
 9809993 6835112  345.31362   33   47  324.00000  364.99206  12.7%   3.4  125s
 10211088 7095967  325.20277   51   15  324.00000  363.30259  12.1%   3.4  130s
 10604952 7345901  327.88375   45   21  324.00000  361.61271  11.6%   3.5  135s
 11005586 7604498  331.18337   42   27  324.00000  361.61271  11.6%   3.5  140s
 11403886 7864862  341.19703   35   44  324.00000  361.61271  11.6%   3.5  145s
 11807137 8132775  324.64236   53   11  324.00000  360.86845  11.4%   3.5  150s
 12215961 8415886  354.95245   30   54  324.00000  360.86845  11.4%   3.5  155s
 12611551 8683603     cutoff   51       324.00000  360.86845  11.4%   3.5  160s
 13020362 8956361  350.59613   31   55  324.00000  360.86845  11.4%   3.5  165s
 13417600 9223340  324.09785   49   20  324.00000  360.86845  11.4%   3.5  170s
 13825475 9482013  324.13420   49   13  324.00000  360.86845  11.4%   3.5  175s
 14234538 9754121  324.58653   50   17  324.00000  360.57960  11.3%   3.5  180s
 14633001 10007660  336.91296   38   36  324.00000  360.57960  11.3%   3.5  185s
 15038061 10272568  324.70277   52   14  324.00000  360.57960  11.3%   3.5  190s
 15444012 10554021  329.18423   44   25  324.00000  360.57960  11.3%   3.5  195s
 15837529 10825779  324.75267   48   15  324.00000  360.57960  11.3%   3.5  200s
 16237154 11093250  325.14236   52   12  324.00000  359.48664  11.0%   3.5  205s
 16648951 11360269  327.61135   39   31  324.00000  359.48664  11.0%   3.5  210s
 17049602 11611957  343.14642   34   45  324.00000  357.33248  10.3%   3.5  215s
 17460137 11864838  339.05791   36   43  324.00000  356.66031  10.1%   3.5  220s
 17871483 12125699  350.73207   31   54  324.00000  354.96470  9.56%   3.5  225s
 18276670 12379456  339.42689   36   44  324.00000  354.96470  9.56%   3.5  230s
 18668808 12625430  343.14642   34   45  324.00000  354.96470  9.56%   3.5  235s
 19057864 12868558  328.80400   43   27  324.00000  354.96337  9.56%   3.5  240s
 19457110 13096235  324.71470   49   18  324.00000  354.96337  9.56%   3.5  245s
 19854723 13343488  350.73207   31   54  324.00000  354.96337  9.56%   3.5  250s
 20259141 13620565  347.74695   32   52  324.00000  354.96337  9.56%   3.5  255s
 20670347 13892046  327.59376   46   20  324.00000  354.95919  9.56%   3.5  260s
 21078657 14167813  331.15835   40   32  324.00000  354.95919  9.56%   3.5  265s
 21489860 14433839  327.27447   46   21  324.00000  354.95919  9.56%   3.5  270s
 21905075 14702787  324.24046   48   12  324.00000  354.95919  9.56%   3.5  275s
 22304416 14951161  347.75544   32   53  324.00000  354.95919  9.56%   3.5  280s
 22706342 15200937  324.07637   52   14  324.00000  354.95919  9.56%   3.5  285s
 23111478 15459004  324.53740   55    9  324.00000  354.95919  9.56%   3.5  290s
 23518000 15722716  327.59376   46   20  324.00000  354.95919  9.56%   3.5  295s
 23922751 15990668  325.14236   52   12  324.00000  354.95919  9.56%   3.5  300s
 24323077 16248414  324.62073   54   10  324.00000  354.95919  9.56%   3.5  305s
 24726071 16513520  325.72843   50   12  324.00000  354.95245  9.55%   3.5  310s
 25138793 16795425  350.59613   31   55  324.00000  354.83160  9.52%   3.5  315s
 25547086 17085092  332.93080   41   26  324.00000  354.83160  9.52%   3.5  320s
