root_relax = 327.37
QCR_time = 17.3302
opt = false
obj_val = 324.25
solved_time = 2930.8475
explored_nodes = 167652178
./res/Gurobi/QCR_QP/bcc86527.txt"
Set parameter Presolve to value 0
Set parameter AggFill to value -1
Set parameter Aggregate to value 0
Set parameter Heuristics to value 0
Set parameter LPWarmStart to value 0
Set parameter NLPHeur to value 0
Set parameter NoRelHeurTime to value 0
Set parameter PreCrush to value 0
Set parameter PreDepRow to value 0
Set parameter PreDual to value 0
Set parameter PrePasses to value -1
Set parameter RINS to value 0
Set parameter Symmetry to value 0
Set parameter PreQLinearize to value 0
Set parameter NonConvex to value 0

Gurobi 12.0.0 (linux64) logging started Wed Feb  5 20:19:03 2025

Set parameter LogFile to value "./res/Gurobi/QCR_QP/bcc86527.txt"
Set parameter PreCrush to value 0
Set parameter PrePasses to value -1
Set parameter AggFill to value -1
Set parameter NoRelHeurTime to value 0
Set parameter NLPHeur to value 0
Set parameter NonConvex to value 0
Set parameter LPWarmStart to value 0
Set parameter PreDepRow to value 0
Set parameter Symmetry to value 0
Set parameter Presolve to value 0
Gurobi Optimizer version 12.0.0 build v12.0.0rc1 (linux64 - "Debian GNU/Linux 12 (bookworm)")

CPU model: Intel(R) Xeon(R) CPU E5-2650 v3 @ 2.30GHz, instruction set [SSE2|AVX|AVX2]
Thread count: 20 physical cores, 40 logical processors, using up to 20 threads

Non-default parameters:
TimeLimit  1800
LPWarmStart  0
Heuristics  0
RINS  0
NLPHeur  0
Symmetry  0
Aggregate  0
PreDual  0
NonConvex  0
PreDepRow  0
PreQLinearize  0
Presolve  0

Optimize a model with 0 rows, 78 columns and 0 nonzeros
Model fingerprint: 0x17bd6e1f
Model has 648 quadratic objective terms
Variable types: 0 continuous, 78 integer (78 binary)
Coefficient statistics:
  Matrix range     [0e+00, 0e+00]
  Objective range  [3e+00, 5e+01]
  QObjective range [1e+00, 3e+01]
  Bounds range     [0e+00, 0e+00]
  RHS range        [0e+00, 0e+00]
Variable types: 0 continuous, 78 integer (78 binary)

Root relaxation: objective -3.273672e+02, 118 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 -327.36722    0   78          - -327.36722      -     -    0s
     0     0 -327.36716    0   78          - -327.36716      -     -    0s
     0     2 -327.36716    0   78          - -327.36716      -     -    0s
* 1469  2958              74    -321.0000000 -327.36716  1.98%   2.8    0s
* 2071  2939              67    -322.0000000 -327.36716  1.67%   2.9    0s
* 7222  4918              74    -323.0000000 -326.31970  1.03%   3.1    0s
* 7285  4794              73    -324.0000000 -326.31970  0.72%   3.1    0s
 550375 355354 -324.25002   55   12 -324.00000 -324.50005  0.15%   2.4    5s
 1244487 802946 -324.25275   60    8 -324.00000 -324.25278  0.08%   2.3   10s
 1884369 1214363 -324.16940   70    3 -324.00000 -324.25277  0.08%   2.3   15s
 2558255 1635996 -324.25277   52   16 -324.00000 -324.25277  0.08%   2.3   20s
 3243087 2067498 -324.25275   55   10 -324.00000 -324.25277  0.08%   2.3   25s
 3919607 2480657 -324.25277   50   17 -324.00000 -324.25277  0.08%   2.3   30s
 4622318 2910261 -324.25276   54   15 -324.00000 -324.25277  0.08%   2.3   35s
 5308326 3324766 -324.25276   52   14 -324.00000 -324.25277  0.08%   2.3   40s
 5980954 3729301 -324.25275   52   13 -324.00000 -324.25277  0.08%   2.3   45s
 6660599 4132377 -324.25274   59    8 -324.00000 -324.25277  0.08%   2.3   50s
 7350828 4544906 -324.25274   63    5 -324.00000 -324.25277  0.08%   2.3   55s
 8025597 4962317 -324.25276   54   15 -324.00000 -324.25277  0.08%   2.3   60s
 8688799 5380554 -324.25275   56   12 -324.00000 -324.25277  0.08%   2.3   65s
 9383680 5793028 -324.12500   70    1 -324.00000 -324.25277  0.08%   2.3   70s
 10068762 6189507 -324.19023   67    4 -324.00000 -324.25277  0.08%   2.3   75s
 10758711 6597843 -324.25276   55   12 -324.00000 -324.25277  0.08%   2.3   80s
 11436667 6998387     cutoff   67      -324.00000 -324.25277  0.08%   2.3   85s
 12119982 7420245 -324.25273   66    2 -324.00000 -324.25277  0.08%   2.3   90s
 12799693 7838743 -324.25276   53   14 -324.00000 -324.25277  0.08%   2.3   95s
 13480643 8244032 -324.25276   51   14 -324.00000 -324.25277  0.08%   2.3  100s
 14129400 8619416 -324.25275   60   10 -324.00000 -324.25277  0.08%   2.3  105s
 14757470 8995634 -324.25276   56   14 -324.00000 -324.25277  0.08%   2.3  110s
 15442047 9399389 -324.25276   57   12 -324.00000 -324.25277  0.08%   2.3  115s
 16080947 9788567 -324.25276   54   13 -324.00000 -324.25277  0.08%   2.3  120s
 16759663 10198121 -324.18750   68    3 -324.00000 -324.25277  0.08%   2.3  125s
 17451169 10609743 -324.25276   55   14 -324.00000 -324.25277  0.08%   2.3  130s
 18136135 11000300 -324.25276   55   14 -324.00000 -324.25277  0.08%   2.3  135s
 18826883 11423961 -324.25275   53   14 -324.00000 -324.25276  0.08%   2.3  140s
 19509083 11805580 -324.25276   53   15 -324.00000 -324.25276  0.08%   2.3  145s
 20195820 12192487 -324.18750   63    3 -324.00000 -324.25276  0.08%   2.3  150s
 20878660 12571732 -324.25276   53   16 -324.00000 -324.25276  0.08%   2.3  155s
 21556044 12968692     cutoff   68      -324.00000 -324.25276  0.08%   2.3  160s
 22233822 13364354 -324.25273   62    3 -324.00000 -324.25276  0.08%   2.3  165s
